LoanID,MemberID,LoanAmount,FundedAmount,Term,IntRate,Installment,Grade,SubGrade,IssueDate,LoanStatus,Purpose,ApplicationType,DTI,TotalPayment,LastPaymentDate
LN-00012,MB-0059,351000.0,345000.0,48,15.13,8274.97,C,C5,28/01/2022,Current,Home Renovation,Joint,43.62,126211.87,2024-03-30
LN-00013,MB-0110,2137000.0,2014300.0,12,12.36,188605.62,B,B1,2024-02-27,Fully Paid,Vehicle Purchase,Joint,39.5,2427121.23,2025-02-01
LN-00014,MB-0191,2847000.0,2767800.0,12,12.95,260519.17,B,B5,30/12/2022,Current,Wedding,Joint,17.2,1240107.07,2023-09-14
LN-00015,MB-0226,1490000.0,1352000.0,36,8.06,40582.53,A,A1,17/08/2022,Late,Medical Emergency,Joint,25.83,1168312.59,2022-09-30
LN-00016,MB-0250,2411000.0,2178400.0,24,12.36,101985.43,B,B1,2024-05-13,Fully Paid,Agriculture,Joint,29.72,2336809.05,2026-05-22
LN-00017,MB-0271,1788000.0,1617000.0,24,9.96,74085.55,A,A2,2022-11-10,Current,Home Renovation,Joint,33.27,978953.06,2023-11-16
LN-00018,MB-0312,2195000.0,2007000.0,48,8.32,45291.3,A,A2,2022-06-21,Fully Paid,Education,Individual,23.5,2469538.51,2026-05-17
LN-00019,MB-0325,1121000.0,1040500.0,24,13.12,49042.23,B,B1,2024-10-27,Fully Paid,Vehicle Purchase,Individual,42.36,1145173.11,2026-11-01
LN-00020,MB-0173,1536000.0,1519700.0,24,16.49,73762.44,C,C4,2022-02-25,Fully Paid,Agriculture,Joint,8.48,1748881.69,2024-02-14
LN-00021,MB-0074,794000.0,760000.0,36,10.72,23374.22,B,B3,2021-06-13,Current,Agriculture,Joint,10.18,668335.38,2023-06-19
LN-00022,MB-0035,2702000.0,2506300.0,36,18.14,82248.41,D,D3,2024-07-06,Fully Paid,Debt Consolidation,Joint,34.62,2671916.25,2027-07-09
LN-00023,MB-0051,2891000.0,2775700.0,12,7.72,249165.34,A,A1,2024-03-24,Fully Paid,Home Renovation,Joint,37.1,3420395.72,2025-03-12
LN-00024,MB-0014,1849000.0,1812100.0,24,13.67,85825.59,C,C4,04/04/2021,Fully Paid,Debt Consolidation,Joint,19.81,2240217.64,2023-03-05
LN-00025,MB-0335,1275000.0,1238000.0,36,20.97,41600.24,E,E1,2022-03-08,fully paid,Vehicle Purchase,Joint,2.8,545804.0,2024-03-03
LN-00026,MB-0337,1026000.0,999400.0,36,,34129.51,E,E5,2021-03-06,Charged Off,Agriculture,Joint,22.54,280509.04,2022-09-29
LN-00027,MB-0005,1983000.0,1938200.0,36,10.95,59734.25,B,B1,2023-04-01,CHARGED OFF,Home Renovation,Individual,29.04,312265.74,2024-11-07
LN-00028,MB-0094,1129000.0,1033000.0,24,10.11,47393.18,A,A5,2021-11-28,Current,Agriculture,Joint,38.79,360718.16,2022-12-15
LN-00029,MB-0109,368000.0,358200.0,12,12.92,33706.62,B,B1,2024-10-12,CHARGED OFF,Debt Consolidation,Joint,41.29,198267.4,2025-02-15
LN-00030,MB-0115,824000.0,777300.0,24,8.56,35159.87,A,A1,2023-05-22,Current,Wedding,Individual,16.02,415202.45,2024-03-20
LN-00031,MB-0154,62000.0,61200.0,24,7.98,2753.49,A,A3,2024-05-08,default,Wedding,Joint,31.36,14218.75,2025-08-30
LN-00032,MB-0153,498000.0,493700.0,24,16.23,23909.48,C,C1,2022-12-22,Fully Paid,Business Expansion,Joint,8.48,542129.08,2024-12-16
LN-00033,MB-0017,2387000.0,2312900.0,12,13.9,219532.76,C,C2,2024-03-23,fully paid,Vehicle Purchase,Individual,27.59,1885014.63,2024-06-22
LN-00034,MB-0270,711000.0,678300.0,60,12.0,12661.6,B,B2,2022-12-26,charged off,Wedding,Individual,6.83,315883.75,06-08-2024
LN-00035,MB-0138,630000.0,570000.0,60,10.36,10484.2,A,A1,2022-10-30,Current,Vehicle Purchase,Joint,13.49,505962.2,2026-12-07
LN-00036,MB-0277,1192000.0,1118700.0,48,12.91,26315.09,B,B2,2024-07-24,Fully Paid,Medical Emergency,Joint,40.62,1396062.44,2028-06-25
LN-00037,MB-0318,1247000.0,1191900.0,48,15.15,28593.18,C,C1,2024-03-29,Fully Paid,Vehicle Purchase,Joint,15.57,1280005.18,2028-03-28
LN-00038,MB-0182,2929000.0,2714100.0,36,13.72,85735.4,C,C4,2024-09-22,Fully Paid,Agriculture,Joint,36.28,3094263.88,2027-09-17
LN-00039,MB-0034,1124000.0,1034600.0,24,18.94,51273.05,D,D5,2021-12-19,Fully Paid,Home Renovation,Joint,12.26,1146016.36,2023-12-16
LN-00040,MB-0129,1102000.0,1080300.0,60,11.41,20059.37,B,B3,2022-07-18,Fully Paid,Agriculture,Joint,30.48,1283457.09,2027-06-13
LN-00041,MB-0349,1586000.0,1465100.0,36,9.07,44388.46,A,A4,2022-06-02,Fully Paid,Home Renovation,Individual,36.47,1597697.64,2025-05-31
LN-00042,MB-0124,319000.0,307400.0,12,8.11,27694.18,A,A4,2022-08-18,current,Agriculture,Joint,20.2,140488.59,2023-02-15
LN-00043,MB-0312,754000.0,742700.0,24,19.27,36909.1,D,D3,2024-12-28,CURRENT,Wedding,Joint,10.24,595738.33,2025-04-18
LN-00044,MB-0270,368000.0,351900.0,48,12.6,8254.99,B,B1,2023-08-28,FULLY PAID,Debt Consolidation,Joint,20.75,103703.82,2023-10-16
LN-00045,MB-0206,1684000.0,1645100.0,48,10.85,37991.53,B,B3,2021-06-07,CURRENT,Agriculture,Individual,11.49,1305728.41,2022-09-21
LN-00046,MB-0349,1474000.0,1334700.0,48,10.03,30595.22,A,A3,2023-04-14,Charged Off,Vehicle Purchase,Individual,8.03,479303.54,2023-05-20
LN-00047,MB-0267,1182000.0,1142300.0,36,9.17,34640.25,A,A3,2023-05-11,Current,Debt Consolidation,Joint,23.97,913438.89,2024-02-28
LN-00048,MB-0107,2801000.0,2704700.0,60,10.92,50000.89,B,B3,2022-12-01,Fully Paid,Home Renovation,Joint,42.01,2764087.84,2027-10-20
LN-00049,MB-0166,2398000.0,2228100.0,24,9.91,102037.7,A,A2,2023-07-21,Fully Paid,Wedding,Individual,27.46,2364974.43,2025-07-30
LN-00050,MB-0037,581000.0,576500.0,60,18.71,11406.05,D,D4,2022-03-29,Current,Wedding,Individual,9.06,174127.7,2026-05-01
LN-00051,MB-0049,2855000.0,2687900.0,36,9.62,81846.55,A,A1,2023-05-20,FULLY PAID,Education,Individual,21.02,838896.01,2024-09-18
LN-00052,MB-0299,2172000.0,2022000.0,36,14.47,64293.98,C,C5,2021-11-08,Late,Home Renovation,Joint,38.18,942216.09,2023-09-25
LN-00053,MB-0048,2198000.0,2072700.0,48,7.84,46566.66,A,A2,2021-09-08,Current,Business Expansion,Joint,37.63,1125354.05,2021-11-13
LN-00054,MB-0048,2599000.0,2494500.0,60,9.77,45636.88,A,A3,2023-08-22,Fully Paid,Wedding,Joint,10.66,2562981.26,13-08-2028
LN-00055,MB-0100,198000.0,184800.0,48,21.94,4694.69,E,E3,2023-01-16,Fully Paid,Business Expansion,Joint,16.17,192562.3,2027-01-10
LN-00056,MB-0202,167000.0,160000.0,48,12.44,3748.0,B,B1,2024-03-29,CHARGED OFF,Education,Joint,7.67,29575.8,2024-07-29
LN-00057,MB-0246,327000.0,323000.0,12,10.96,29866.73,B,B3,2024-01-14,Fully Paid,Home Renovation,Joint,13.63,356716.94,2024-12-31
LN-00058,MB-0066,1530000.0,1513300.0,12,16.82,147319.76,D,D5,2024-12-07,Current,Education,Individual,4.31,1193617.96,2025-01-21
LN-00059,MB-0057,299000.0,286400.0,24,8.23,12915.45,A,A1,17/11/2023,CURRENT,Wedding,Individual,35.32,177403.2,2024-03-26
LN-00060,MB-0090,298000.0,290800.0,60,19.26,5780.13,D,D3,2023-04-24,CHARGED OFF,Wedding,Individual,2.46,135767.95,2024-04-30
LN-00061,MB-0072,2074000.0,2013600.0,12,10.49,185402.22,A,A2,2023-09-10,Fully Paid,Business Expansion,Individual,36.04,2146052.5,2024-09-24
LN-00062,MB-0211,1769000.0,1734200.0,48,9.52,39568.66,A,A3,2021-10-04,Fully Paid,Home Renovation,Joint,34.06,2100922.64,2025-09-30
LN-00063,MB-0328,932000.0,928400.0,60,15.47,17867.06,C,C5,2021-05-20,Default,Wedding,Individual,29.2,184757.9,2024-01-12
LN-00064,MB-0295,1206000.0,1179900.0,36,18.98,38995.69,D,D1,2021-06-28,Fully Paid,Debt Consolidation,Joint,19.47,1204717.93,2024-06-23
LN-00065,MB-0244,933000.0,853300.0,60,11.14,15805.96,B,B5,2023-08-13,current,Medical Emergency,Individual,17.21,589479.85,2026-03-05
LN-00066,MB-0124,1158000.0,1146000.0,48,8.31,25859.01,A,A1,2023-01-13,Fully Paid,Debt Consolidation,Joint,43.18,1300625.44,2027-01-04
LN-00067,MB-0084,51000.0,46800.0,24,11.86,2181.27,B,B1,2022-05-29,Current,Debt Consolidation,Individual,36.8,39781.32,2023-03-14
LN-00068,MB-0320,2876000.0,2692500.0,48,13.31,63559.83,B,B3,2021-05-03,Late,Home Renovation,Individual,36.77,2188065.61,2022-01-31
LN-00069,MB-0263,2262000.0,2043700.0,36,17.95,66959.56,D,D5,2022-07-10,Fully Paid,Home Renovation,Joint,2.3,2166166.71,2025-07-11
LN-00070,MB-0124,126000.0,120300.0,48,9.45,2743.09,A,A5,2024-10-17,Current,Vehicle Purchase,Joint,36.61,51361.06,2027-08-28
LN-00071,MB-0178,1572000.0,1552700.0,24,17.42,75965.85,D,D2,2024-10-27,FULLY PAID,,Joint,24.38,1155138.82,2025-11-29
LN-00072,MB-0159,632000.0,589100.0,48,17.71,14446.45,D,D4,2023-01-11,Fully Paid,Medical Emergency,Individual,31.31,628519.13,2027-01-09
LN-00073,MB-0327,180000.0,167000.0,60,8.91,3031.33,A,A3,2024-10-05,FULLY PAID,Debt Consolidation,Joint,26.03,117252.51,2027-01-23
LN-00074,MB-0323,2326000.0,2103000.0,60,8.42,38001.21,A,A4,2023-01-07,fully paid,Business Expansion,Joint,27.89,1648920.29,2027-02-02
LN-00075,MB-0331,2335000.0,2193600.0,36,8.7,66234.53,A,A1,2022-11-21,Fully Paid,Debt Consolidation,Joint,23.49,2304859.22,2025-11-06
LN-00076,MB-0035,2020000.0,1934700.0,48,11.14,44796.37,B,B5,23/10/2024,Charged Off,Wedding,Individual,33.34,1062476.2,2027-05-31
LN-00077,MB-0333,437000.0,424100.0,48,12.34,9925.71,B,B3,2021-05-18,Charged Off,Wedding,Individual,13.83,107986.89,2022-06-20
LN-00078,MB-0041,263000.0,258800.0,36,11.16,7991.17,B,B5,2021-10-12,Fully Paid,Home Renovation,Individual,21.68,295991.75,2024-10-05
LN-00079,MB-0323,1616000.0,1491600.0,60,22.88,30547.97,E,E3,2024-03-28,CURRENT,Education,Individual,10.99,1144867.39,2025-10-27
LN-00080,MB-0323,1776000.0,1669500.0,60,10.36,30707.67,A,A1,2024-09-27,Charged Off,Vehicle Purchase,Joint,19.59,226536.09,2027-07-02
LN-00081,MB-0350,1391000.0,1299400.0,24,16.84,63259.12,D,D5,2022-02-02,fully paid,Wedding,Individual,9.12,963273.25,2022-09-26
LN-00082,MB-0152,2764000.0,2687300.0,12,13.69,254599.28,C,C1,2021-01-27,Charged Off,Medical Emergency,Joint,10.84,1111972.4,2021-07-20
LN-00083,MB-0157,2089000.0,1968100.0,12,9.91,180261.56,A,A2,2021-07-29,Fully Paid,Agriculture,Joint,21.57,2455856.83,2022-07-25
LN-00084,MB-0066,1712000.0,1627800.0,24,17.56,79735.07,D,D5,2022-01-31,Current,Debt Consolidation,Joint,30.22,508961.82,23-05-2023
LN-00085,MB-0110,1168000.0,1052300.0,12,14.89,100748.96,C,C5,2024-03-19,CURRENT,Vehicle Purchase,Joint,3.86,670532.5,2024-12-10
LN-00086,MB-0106,2722000.0,2553900.0,12,7.79,229404.07,A,A2,2022-02-14,Fully Paid,Agriculture,Individual,39.74,2939888.41,2023-01-23
LN-00087,MB-0334,2165000.0,2050200.0,48,15.32,49256.06,C,C2,2023-10-17,CURRENT,Wedding,Individual,7.09,417071.97,2027-01-18
LN-00088,MB-0325,766000.0,759000.0,24,15.91,36656.54,C,C1,2021-04-10,Fully Paid,Home Renovation,Joint,3.64,820084.06,2023-03-20
LN-00089,MB-0054,601000.0,589400.0,24,15.35,28328.04,C,C1,2023-11-11,Charged Off,Home Renovation,Individual,15.9,309851.81,2024-09-20
LN-00090,MB-0288,2386000.0,2275600.0,12,15.48,218988.57,C,C5,2023-07-26,FULLY PAID,Wedding,Individual,28.45,753582.89,2024-05-10
LN-00091,MB-0063,2032000.0,2028600.0,60,16.43,39364.98,C,C2,2022-12-23,CURRENT,Wedding,Individual,-5.0,533213.96,2024-08-05
LN-00092,MB-0076,2937000.0,2869100.0,12,10.74,264770.11,B,B5,2024-10-30,Current,Agriculture,Joint,3.87,2429136.79,2025-03-16
LN-00093,MB-0041,2164000.0,1954200.0,24,19.05,96936.46,D,D1,23/04/2021,Fully Paid,Education,Joint,20.52,2347322.51,2023-04-15
LN-00094,MB-0084,2299000.0,2261500.0,36,11.32,69930.61,B,B4,2023-04-25,Current,Vehicle Purchase,Joint,12.74,455040.06,2025-07-22
LN-00095,MB-0041,154000.0,151700.0,48,12.38,3551.68,B,B1,2024-01-06,Fully Paid,Home Renovation,Individual,17.79,187459.82,2027-12-22
LN-00096,MB-0324,693000.0,676000.0,12,9.64,61763.87,A,A2,2021-08-31,Default,Education,Joint,20.55,322158.86,2021-12-02
LN-00097,MB-0047,1941000.0,1866900.0,60,13.93,35449.32,C,C2,2021-05-20,current,Business Expansion,Individual,4.98,469365.32,2021-11-18
LN-00098,MB-0253,2078000.0,1927000.0,48,14.03,45778.29,C,C5,13/09/2022,Fully Paid,Business Expansion,Joint,6.3,2117271.22,2026-08-16
LN-00099,MB-0116,2418000.0,2338400.0,36,9.37,71041.89,A,A2,2021-05-29,Late,Medical Emergency,Joint,38.36,763313.07,2021-11-22
LN-00100,MB-0030,1730000.0,1595600.0,12,11.39,148111.57,B,B1,2021-09-24,Late,Education,Individual,13.54,731684.82,2022-03-01
LN-00101,MB-0340,2732000.0,2504100.0,48,10.3,57542.13,A,A2,2024-08-21,Fully Paid,Vehicle Purchase,Individual,3.29,2923606.4,10-08-2028
LN-00102,MB-0051,743000.0,670900.0,48,14.96,16068.06,C,C3,2024-02-12,CURRENT,Business Expansion,Joint,6.72,359377.24,2025-03-03
LN-00103,MB-0032,835000.0,788600.0,24,10.31,36246.03,A,A1,2021-05-27,Current,Debt Consolidation,Individual,25.86,190786.71,2022-09-11
LN-00104,MB-0088,677000.0,614900.0,36,11.91,19114.85,B,B3,2021-09-27,Fully Paid,Wedding,Joint,42.69,720954.81,2024-09-14
LN-00105,MB-0244,1553000.0,1495200.0,60,13.21,28211.93,B,B2,2024-11-07,Current,Agriculture,Individual,29.67,980545.22,2025-09-30
LN-00106,MB-0165,1987000.0,1917600.0,24,13.55,90726.45,C,C3,2021-06-17,Fully Paid,Education,Individual,21.71,2090226.29,2023-06-07
LN-00107,MB-0206,87000.0,86600.0,24,7.7,3886.17,A,A2,2023-10-05,Current,Wedding,Joint,18.07,29559.67,2025-02-13
LN-00108,MB-0165,1062000.0,1026800.0,12,9.21,93447.36,A,A2,2022-05-04,CHARGED OFF,Medical Emergency,Joint,35.11,346578.43,2022-10-21
LN-00109,MB-0124,2883000.0,2637700.0,24,13.5,124741.23,B,B3,2022-10-20,LATE,Wedding,Joint,7.82,836813.2,2024-02-25
LN-00110,MB-0292,2873000.0,2663000.0,48,13.78,63124.2,C,C2,2021-08-02,default,Education,Individual,20.73,1315683.7,2024-08-20
LN-00111,MB-0340,1770000.0,1672000.0,48,15.47,40222.05,C,C5,2023-01-27,Late,Business Expansion,Joint,27.21,1001896.72,2024-03-03
LN-00112,MB-0330,2871000.0,2657800.0,12,9.6,242745.73,A,A3,2024-10-29,Current,Home Renovation,Joint,4.45,1415923.22,2025-02-28
LN-00113,MB-0120,2876000.0,2648000.0,48,21.7,67137.83,E,E1,2022-04-22,Fully Paid,Agriculture,Joint,7.76,2778651.55,2026-03-26
LN-00114,MB-0058,2659000.0,2556900.0,12,8.91,232059.98,A,A2,2022-11-12,Current,Debt Consolidation,Joint,21.53,825349.82,2023-08-15
LN-00115,MB-0083,2889000.0,2821600.0,60,12.43,52872.08,B,B1,2024-12-14,Current,Medical Emergency,Joint,29.29,887069.84,2025-05-25
LN-00116,MB-0302,1807000.0,1700800.0,60,8.32,30705.11,A,A1,2021-01-10,CHARGED OFF,Wedding,Individual,5.01,317697.93,2022-02-01
LN-00117,MB-0122,293000.0,266300.0,24,7.95,11977.95,A,A1,2023-12-06,Fully Paid,Medical Emergency,Joint,16.42,274993.49,2025-11-10
LN-00118,MB-0033,439000.0,433200.0,36,14.53,13781.78,C,C3,21/01/2022,Current,Education,Joint,23.15,203458.41,2024-02-24
LN-00119,MB-0037,244000.0,223300.0,48,18.91,5531.79,D,D1,2022-04-19,Current,Debt Consolidation,Individual,36.02,46715.21,2023-08-03
LN-00120,MB-0124,1299000.0,1238400.0,12,13.59,117224.88,C,C5,2022-03-29,Current,Agriculture,Individual,33.15,1029453.25,2022-08-10
LN-00121,MB-0134,718000.0,701600.0,36,8.69,21182.47,A,A1,2022-09-20,fully paid,Home Renovation,Joint,24.49,392628.76,2023-03-23
LN-00122,MB-0126,996000.0,974600.0,60,13.11,18372.83,B,B2,2023-09-03,Current,Business Expansion,Joint,31.49,493255.79,2024-02-16
LN-00123,MB-0114,2817000.0,2653200.0,36,12.1,82617.7,B,B4,2022-10-07,Current,Medical Emergency,Individual,35.53,600058.65,2024-05-29
LN-00124,MB-0318,2565000.0,2477900.0,36,8.81,74894.53,A,A1,2023-03-18,Current,Home Renovation,Joint,5.69,2073682.05,2025-03-03
LN-00125,MB-0037,1831000.0,1722300.0,24,11.02,79670.73,B,B5,2023-05-23,Current,Agriculture,Individual,34.89,454997.49,2024-07-21
LN-00126,MB-0310,1210000.0,1113400.0,24,18.75,55090.1,D,D4,2023-10-03,Fully Paid,Wedding,Individual,41.37,1201009.18,2025-10-02
LN-00127,MB-0316,2202000.0,2168700.0,24,12.48,101639.74,B,B2,2021-01-01,charged off,Medical Emergency,Individual,4.42,1192133.12,2021-07-17
LN-00128,MB-0137,1155000.0,1080300.0,48,21.35,27311.33,E,E3,2021-01-26,Late,Wedding,Individual,42.54,965193.36,2022-02-11
LN-00129,MB-0130,1173000.0,1154200.0,24,11.22,53487.55,B,B3,2024-10-05,Charged Off,Vehicle Purchase,Individual,32.67,610096.08,2025-11-20
LN-00130,MB-0025,2939000.0,2923200.0,48,15.85,70552.65,C,C5,2022-03-15,current,Business Expansion,Joint,35.64,2398868.79,2022-06-05
LN-00131,MB-0035,635000.0,600800.0,48,11.43,13947.32,B,B1,2023-02-14,Fully Paid,Agriculture,Joint,22.5,737135.25,2027-01-23
LN-00132,MB-0055,252000.0,238000.0,12,16.14,23034.43,C,C5,2022-03-02,Fully Paid,Business Expansion,Individual,30.62,268024.24,2023-03-13
LN-00133,MB-0220,1595000.0,1566400.0,36,20.8,52561.42,E,E2,2024-05-21,Charged Off,Debt Consolidation,Individual,36.14,454719.42,2024-09-06
LN-00134,MB-0155,2210000.0,2030300.0,60,22.76,41539.94,E,E5,2021-10-21,Current,Education,Individual,2.47,430998.96,2025-07-11
LN-00135,MB-0292,662000.0,597400.0,60,13.05,11256.01,B,B1,2024-12-30,Default,Wedding,Individual,32.72,105503.1,2027-07-15
LN-00136,MB-0309,864000.0,813900.0,60,15.39,15652.65,C,C5,2021-01-12,Charged Off,Wedding,Joint,4.33,175836.7,2022-02-05
LN-00137,MB-0104,2260000.0,2194900.0,24,21.32,110952.2,E,E1,2023-11-13,Fully Paid,Business Expansion,Individual,38.05,2691972.79,2025-11-17
LN-00138,MB-0236,2993000.0,2794300.0,24,10.49,128642.59,A,A2,2023-04-20,Fully Paid,Wedding,Joint,11.79,2904804.23,2025-04-01
LN-00139,MB-0152,2528000.0,2469500.0,60,8.96,44846.12,A,A4,2023-08-24,Current,Education,Individual,42.63,620590.63,2027-08-29
LN-00140,MB-0052,1040000.0,1009300.0,48,12.44,23642.85,B,B4,2024-03-18,CURRENT,Agriculture,Joint,22.01,561406.51,2026-07-18
LN-00141,MB-0081,2850000.0,2606400.0,36,12.53,81471.72,B,B1,2022-10-31,Current,Education,Joint,19.15,1708824.25,2023-09-18
LN-00142,MB-0014,1350000.0,1252100.0,60,16.19,24246.92,C,C4,2023-12-26,Charged Off,Business Expansion,Joint,17.04,284570.32,2027-03-27
LN-00143,MB-0190,1120000.0,1110300.0,60,16.54,21565.73,D,D1,2022-08-13,Charged Off,Home Renovation,Individual,40.32,218256.04,2023-01-11
LN-00144,MB-0160,1338000.0,1220500.0,12,10.34,112224.97,A,A1,2021-07-03,Charged Off,Home Renovation,Joint,25.69,646015.18,2021-11-08
LN-00145,MB-0092,162000.0,146700.0,12,13.62,13890.05,C,C3,2024-11-23,Current,Education,Individual,16.1,91904.76,2025-04-03
LN-00146,MB-0223,797000.0,735800.0,12,13.48,69582.15,B,B4,2021-12-25,Fully Paid,Home Renovation,Joint,32.35,840245.97,2022-12-02
LN-00147,MB-0295,2650000.0,2544300.0,36,9.48,77374.99,A,A4,2021-10-30,Charged Off,Education,Joint,23.99,477114.44,2022-12-26
LN-00148,MB-0257,2819000.0,2775200.0,36,17.74,90764.46,D,D5,2024-03-13,Fully Paid,Agriculture,Individual,30.78,3032625.94,2027-03-02
LN-00149,MB-0109,2473000.0,2470700.0,36,14.45,78547.67,C,C5,2022-06-22,Charged Off,Agriculture,Joint,34.57,1307566.1,2022-10-14
LN-00150,MB-0024,1741000.0,1724800.0,60,9.02,31339.62,A,A1,2021-01-09,Fully Paid,Medical Emergency,Individual,32.32,1999757.0,2025-12-21
LN-00151,MB-0132,1964000.0,1786800.0,48,10.0,40947.5,A,A4,2021-05-14,Current,Debt Consolidation,Joint,14.87,927976.83,2023-03-25
LN-00152,MB-0243,2260000.0,2066700.0,36,20.66,69268.89,E,E1,13/01/2024,Current,Debt Consolidation,Individual,44.5,789064.36,2025-07-14
LN-00153,MB-0045,685000.0,657700.0,12,9.69,60119.26,A,A1,2024-05-31,Fully Paid,Business Expansion,Individual,16.76,797670.39,2025-05-22
LN-00154,MB-0115,788000.0,781100.0,24,10.98,36119.37,B,B2,2022-09-11,Default,Agriculture,Individual,44.86,116514.65,2023-06-08
LN-00155,MB-0197,1469000.0,1400000.0,24,10.27,64324.17,A,A4,2024-11-01,Fully Paid,Education,Joint,8.9,1579200.71,2026-10-19
LN-00156,MB-0255,1019000.0,952000.0,12,14.6,90916.0,C,C5,2021-10-15,Current,Education,Joint,43.27,703829.9,2022-04-25
LN-00157,MB-0146,1711000.0,1702100.0,36,11.94,52925.85,B,B3,2022-02-10,Current,Vehicle Purchase,Individual,41.97,1061037.98,2023-01-13
LN-00158,MB-0301,668000.0,605900.0,60,9.02,11009.2,A,A1,2022-05-01,Current,Wedding,Individual,7.08,234238.81,2024-10-20
LN-00159,MB-0292,1276000.0,1263600.0,60,15.1,24240.06,C,C5,2024-03-19,Fully Paid,Business Expansion,Individual,9.77,1559758.25,2029-02-18
LN-00160,MB-0166,1245000.0,1207300.0,12,15.29,115991.35,C,C4,2023-05-20,Fully Paid,Education,Joint,32.0,1332584.21,2024-04-25
LN-00161,MB-0219,525000.0,510600.0,60,13.9,9692.89,C,C4,2023-01-28,Fully Paid,Education,Individual,41.52,589928.14,2027-12-20
LN-00162,MB-0295,1267000.0,1209200.0,12,9.68,110520.88,A,A4,2021-10-15,Fully Paid,Vehicle Purchase,Individual,12.16,1448534.49,2022-10-20
LN-00163,MB-0244,2928000.0,2925800.0,12,14.86,280047.82,C,C2,2021-03-19,current,Business Expansion,Joint,23.63,2130397.38,2021-10-08
LN-00164,MB-0158,771000.0,705800.0,36,8.8,21330.84,A,A4,2021-08-06,Current,Home Renovation,Joint,42.06,201643.97,2024-01-20
LN-00165,MB-0321,1545000.0,1442300.0,12,15.06,138292.53,C,C3,2022-01-27,Current,Debt Consolidation,Joint,34.17,956042.9,2022-04-13
LN-00166,MB-0115,635000.0,577100.0,36,16.48,18672.39,C,C1,2022-06-30,current,Debt Consolidation,Joint,16.4,143336.78,2022-10-24
LN-00167,MB-0135,1178000.0,1140400.0,36,17.08,37088.34,D,D1,2023-10-13,current,Agriculture,Individual,30.8,340875.8,2025-03-21
LN-00168,MB-0013,2956000.0,2873100.0,12,13.84,272561.42,C,C5,2021-04-21,Fully Paid,Education,Joint,15.85,3199280.69,2022-04-13
LN-00169,MB-0092,1655000.0,1560800.0,24,9.41,71152.97,A,A1,2022-06-18,Current,Wedding,Individual,8.68,479326.53,2023-07-15
LN-00170,MB-0303,2602000.0,2494900.0,60,12.1,46613.05,B,B5,2022-02-23,Current,Wedding,Joint,15.38,1650796.76,2022-12-13
LN-00171,MB-0341,1619000.0,1501800.0,48,15.84,36243.44,C,C1,2022-05-25,Current,Medical Emergency,Joint,24.25,722995.46,2022-08-28
LN-00172,MB-0350,2593000.0,2517600.0,48,8.58,56950.21,A,A4,2024-09-01,Fully Paid,Medical Emergency,Joint,34.45,2969521.79,2028-08-08
LN-00173,MB-0210,1598000.0,1545300.0,36,9.91,47178.87,A,A5,2022-11-22,Current,Education,Joint,11.86,419497.4,2023-07-11
LN-00174,MB-0068,2610000.0,2463600.0,48,16.97,60034.85,D,D4,2024-08-06,Fully Paid,Wedding,Joint,8.62,2533667.72,2028-07-07
LN-00175,MB-0099,1552000.0,1414100.0,36,8.82,42745.1,A,A3,2024-05-04,Default,Education,Joint,19.09,694380.38,2025-06-18
